                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |    2485415 |  878130598 |  878133063 |  1053719250
  Cycles                             |  625594680 |  625594680 |  625594680 |   625594680
  IPC                                |       0.00 |       1.40 |       1.40 |        1.68
  Time (ns)                          |  173776300 |  173776300 |  173776300 |   173776300
  Idle time (ns)                     |  172722525 |   29390594 |   29732468 |     1058720
  Idle time (%)                      |      99.4% |      16.9% |      17.1% |        0.6%
Branch predictor stats               |            |            |            |            
  num correct                        |     339020 |   93907979 |   93908313 |   112682439
  num incorrect                      |      17144 |    2831084 |    2831069 |     3396928
  misprediction rate                 |      4.81% |      2.93% |      2.93% |       2.93%
  mpki                               |       6.90 |       3.22 |       3.22 |        3.22
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |     218383 |  141205698 |  141205940 |   169442086
    num misses                       |        198 |         39 |         39 |          34
    miss rate                        |      0.09% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |     794154 |  333499859 |  333500912 |   400185292
    num misses                       |       2752 |       5729 |        146 |          90
    miss rate                        |      0.35% |      0.00% |      0.00% |       0.00%
    mpki                             |       1.11 |       0.01 |       0.00 |        0.00
  L2 TLB                             |            |            |            |            
    num accesses                     |       2950 |       5768 |        185 |         124
    num misses                       |        545 |        139 |        145 |         123
    miss rate                        |     18.47% |      2.41% |     78.38% |      99.19%
    mpki                             |       0.22 |       0.00 |       0.00 |        0.00
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |     218383 |  141205698 |  141205940 |   169442086
    num cache misses                 |      33223 |    2022571 |    2022668 |     2423075
    miss rate                        |     15.21% |      1.43% |      1.43% |       1.43%
    mpki                             |      13.37 |       2.30 |       2.30 |        2.30
  Cache L1-D                         |            |            |            |            
    num cache accesses               |     794154 |  333499859 |  333500912 |   400185292
    num cache misses                 |      21198 |    5472637 |    5458516 |     6644210
    miss rate                        |      2.67% |      1.64% |      1.64% |       1.66%
    mpki                             |       8.53 |       6.23 |       6.22 |        6.31
  Cache L2                           |            |            |            |            
    num cache accesses               |      55197 |    7530879 |    7516225 |     9106774
    num cache misses                 |      19976 |     799865 |     778007 |      936946
    miss rate                        |     36.19% |     10.62% |     10.35% |      10.29%
    mpki                             |       8.04 |       0.91 |       0.89 |        0.89
DRAM summary                         |            |            |            |            
  num dram accesses                  |    1127835 |     850236 |     858484 |      795407
  average dram access latency (ns)   |      26.65 |      25.27 |      26.91 |       25.82
  average dram queueing delay        |       3.22 |       1.84 |       3.48 |        2.39
  average dram bandwidth utilization |      5.00% |      4.00% |      4.00% |       3.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |      13950 |     216789 |     211058 |      260737
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |         10 |       5735 |       3963 |        2724
